,Region,2019,2020
0,Border,4.2,5.65
1,Dublin,4.45,6.25
2,Eastern and Midland,4.7,5.975
3,Mid-East,4.949999999999999,5.325
4,Mid-West,5.35,6.225
5,Midland,5.65,6.1
6,Northern and Western,4.775,5.2
7,South-East,7.300000000000001,6.85
8,South-West,4.625,5.25
9,Southern,5.525,5.975
10,State,4.975,5.8500000000000005
11,West,5.25,4.875
