,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,X,Y
1568,0.0,0.0,0.0,0.0,0.0,0.04,0.77,2.39,3.31,4.44,2.24,1.39,0.97,0.6,0.53,0.26,0.28,0.36,0.23,0.53,0.46,0.43,0.35,0.41,0.23,0.22,0.27,0.32,0.34,0.63,18.41,1.2,1.64,1.92,1.83,2.58,5.5,7.83,12.47,16.37,19.01,20.07,19.19,16.2,16.93,19.28,15.46,26.74,48.14,56.06,71.99,59.63,30.17,13.85,7.92,4.09,3.03,2.66,1.99,1.61,1.34,2.14,1.51,1.34,1.6,1.09,1.14,1.18,1.23,1.52,1.56,2.24,3.16,5.76,7.32,8.32,8.16,8.15,7.76,7.79,9.77,10.15,8.01,5.7,4.33,2.84,2.81,2.87,4.15,4.82,5.22,7.39,10.99,14.11,3.28,2795346.6337470883,2075256.9334852935
1569,0.0,0.0,0.0,0.0,0.02,0.38,1.46,3.3,4.98,3.27,2.3,3.6,1.8,4.17,3.47,4.15,6.0,6.74,6.13,6.75,6.95,6.2,7.28,5.76,4.15,3.06,2.75,2.87,2.87,3.6,4.12,6.18,7.31,9.79,9.14,10.12,14.92,18.93,25.8,29.96,31.14,39.36,30.39,26.32,27.5,26.65,22.54,39.62,69.41,89.65,122.01,150.32,79.87,36.76,20.29,11.5,7.83,5.95,4.46,4.03,4.34,5.1,3.71,3.31,3.34,1.92,3.16,4.6,5.02,8.1,10.15,17.55,21.62,27.28,32.1,34.09,31.23,22.68,21.91,20.97,19.06,16.73,13.65,10.07,7.66,6.19,5.03,4.43,5.64,7.13,7.57,8.85,11.67,18.12,4.64,2673656.3794855727,1946363.1644123746
1570,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.51,0.58,0.81,0.27,0.41,0.44,0.24,0.1,0.16,0.09,0.13,0.2,1.31,1.38,0.79,0.64,0.82,0.82,0.78,0.33,0.84,0.91,0.71,0.68,2.11,2.11,2.9,1.12,0.91,5.12,5.98,5.62,9.14,7.48,16.89,11.94,12.04,14.86,16.51,16.71,20.41,43.91,48.58,53.86,41.42,28.76,11.04,6.02,4.51,2.4,1.77,2.04,2.2,1.67,2.5,3.02,1.59,1.76,0.85,1.73,1.39,1.28,1.58,2.16,2.87,3.62,5.65,7.2,8.7,10.5,10.22,11.07,10.62,10.82,13.47,8.06,5.95,4.57,3.92,4.49,6.17,4.58,3.49,2.4,2.63,5.79,8.63,2.85,2755169.1057336396,1897829.66524718
1571,0.0,0.0,0.0,0.0,0.0,0.04,0.12,1.19,1.4,1.11,0.49,0.58,0.49,0.12,0.0,0.0,0.0,0.25,0.08,0.04,0.21,0.08,0.29,0.33,0.08,0.37,0.49,0.25,0.58,0.41,0.41,0.86,0.12,1.07,0.7,0.54,0.95,0.91,1.24,3.5,6.18,7.17,8.69,7.45,6.75,9.18,5.56,9.72,20.1,20.39,13.06,11.41,4.41,2.39,1.89,1.52,2.18,3.42,3.13,3.34,2.1,10.87,7.83,4.53,5.31,3.95,7.21,6.55,6.59,7.99,8.69,7.54,5.07,9.02,10.34,10.87,14.74,14.91,13.84,12.81,9.72,4.41,2.43,2.88,3.13,2.97,4.0,4.9,4.12,5.35,4.86,3.87,6.71,9.68,0.78,1189361.5352853208,2487771.3964113407
1572,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.49,0.35,0.28,0.55,0.98,0.0,0.16,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.12,0.31,0.2,0.12,0.12,0.59,0.28,0.39,0.67,0.51,0.55,0.75,0.55,1.02,1.61,1.73,2.16,2.48,3.97,3.11,5.74,4.52,2.95,3.54,7.35,7.98,9.99,15.1,20.73,25.13,31.82,35.95,19.15,19.51,19.9,38.78,26.0,9.71,7.79,4.88,6.33,5.66,4.25,6.49,3.15,6.33,4.76,3.19,2.4,1.18,2.2,1.77,3.23,4.09,5.86,8.14,8.06,8.69,10.66,12.86,8.69,6.17,6.61,4.52,3.58,4.44,2.64,2.91,4.17,5.94,10.58,14.32,17.5,5.94,1816123.614219106,1522325.5876309248
1573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,2.48,1.62,0.3,0.34,0.8,1.11,0.68,0.21,0.11,0.11,0.43,0.25,0.27,1.11,3.59,5.5,6.69,6.3,5.36,5.87,5.89,4.68,3.8,4.94,5.61,9.69,15.01,24.69,36.36,32.9,33.72,24.19,18.3,18.01,14.46,9.82,8.82,14.71,9.62,8.39,7.5,5.3,4.5,4.69,8.1,11.28,12.57,16.35,16.48,19.31,17.64,14.28,11.64,6.87,5.69,3.43,2.89,1.48,0.93,0.52,0.37,0.14,0.04,0.05,0.11,0.02,0.3,0.23,0.48,0.71,0.8,2.64,4.18,8.8,14.66,20.55,39.06,46.23,59.12,62.17,46.84,27.88,17.08,11.23,5246393.781091796,2723930.30671353
1574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,2.48,1.62,0.3,0.34,0.8,1.11,0.68,0.21,0.11,0.11,0.43,0.25,0.27,1.11,3.59,5.5,6.69,6.3,5.36,5.87,5.89,4.68,3.8,4.94,5.61,9.69,15.01,24.69,36.36,32.9,33.72,24.19,18.3,18.01,14.46,9.82,8.82,14.71,9.62,8.39,7.5,5.3,4.5,4.69,8.1,11.28,12.57,16.35,16.48,19.31,17.64,14.28,11.64,6.87,5.69,3.43,2.89,1.48,0.93,0.52,0.37,0.14,0.04,0.05,0.11,0.02,0.3,0.23,0.48,0.71,0.8,2.64,4.18,8.8,14.66,20.55,39.06,46.23,59.12,62.17,46.84,27.88,17.08,11.23,5246393.781091796,2723930.30671353
1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,1.69,2.12,1.69,1.4,0.68,0.61,1.04,2.09,1.15,2.3,1.98,2.09,2.56,3.17,3.46,2.77,2.05,2.48,1.87,3.53,2.74,2.63,3.28,3.28,5.9,7.77,12.49,18.36,28.61,32.25,27.93,18.32,13.89,15.26,12.2,8.85,9.65,9.93,7.02,5.9,5.97,4.71,4.43,4.14,6.55,8.46,9.39,13.89,13.78,16.16,13.78,12.16,7.52,5.76,3.67,3.17,1.55,0.72,0.29,0.25,0.14,0.14,0.25,0.14,0.47,0.32,0.5,1.22,2.48,2.81,6.15,7.77,13.53,20.33,25.34,25.3,38.44,28.18,29.69,23.61,17.92,10.62,5.79,4.32,5413164.266100595,2787714.596099377
1576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,1.69,2.12,1.69,1.4,0.68,0.61,1.04,2.09,1.15,2.3,1.98,2.09,2.56,3.17,3.46,2.77,2.05,2.48,1.87,3.53,2.74,2.63,3.28,3.28,5.9,7.77,12.49,18.36,28.61,32.25,27.93,18.32,13.89,15.26,12.2,8.85,9.65,9.93,7.02,5.9,5.97,4.71,4.43,4.14,6.55,8.46,9.39,13.89,13.78,16.16,13.78,12.16,7.52,5.76,3.67,3.17,1.55,0.72,0.29,0.25,0.14,0.14,0.25,0.14,0.47,0.32,0.5,1.22,2.48,2.81,6.15,7.77,13.53,20.33,25.34,25.3,38.44,28.18,29.69,23.61,17.92,10.62,5.79,4.32,5413164.266100595,2787714.596099377
1577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.86,1.44,0.85,1.03,0.17,0.32,0.49,0.27,0.75,0.34,0.24,0.97,1.48,2.03,3.38,2.73,2.71,2.89,2.47,3.21,2.86,5.3,5.4,6.72,10.49,17.38,24.96,31.67,41.43,44.05,44.72,37.39,28.96,31.41,22.56,18.87,17.87,24.8,21.93,15.49,13.74,13.82,15.95,16.32,18.59,23.92,22.8,27.2,32.7,38.94,31.2,27.85,14.14,8.29,8.48,4.86,3.26,1.16,0.93,0.54,0.51,0.28,0.45,0.39,0.35,0.49,0.92,1.54,1.55,2.18,4.93,7.34,9.78,17.32,28.19,34.25,55.74,48.54,53.5,48.52,41.5,30.44,16.26,13.28,5347908.128404787,2727209.872473015
