date,country,mortality,day,month
2020-05-31,Belgium,1.1727272727272726,31,5
2020-06-07,Belgium,-1.7954545454545454,7,6
2020-06-14,Belgium,0.8727272727272731,14,6
2020-06-21,Belgium,-2.286363636363637,21,6
2020-06-28,Belgium,1.6136363636363635,28,6
2020-07-05,Belgium,-5.800000000000001,5,7
2020-07-12,Belgium,-4.086363636363636,12,7
2020-07-19,Belgium,-1.0409090909090903,19,7
2020-07-26,Belgium,-4.222727272727273,26,7
2020-08-02,Belgium,1.4000000000000008,2,8
2020-08-09,Belgium,3.877272727272727,9,8
2020-08-16,Belgium,23.336363636363636,16,8
2020-08-23,Belgium,7.118181818181818,23,8
2020-08-30,Belgium,-0.65909090909091,30,8
2020-09-06,Belgium,0.9772727272727277,6,9
2020-09-13,Belgium,-0.895454545454545,13,9
2020-09-20,Belgium,2.7545454545454544,20,9
2020-09-27,Belgium,0.19090909090909056,27,9
2020-10-04,Belgium,-1.1136363636363635,4,10
2020-10-11,Belgium,0.9090909090909091,11,10
2020-10-18,Belgium,3.4545454545454546,18,10
2020-10-25,Belgium,14.481818181818182,25,10
2020-11-01,Belgium,29.513636363636362,1,11
2020-11-08,Belgium,38.23636363636364,8,11
2020-11-15,Belgium,31.545454545454547,15,11
2020-11-22,Belgium,24.413636363636364,22,11
2020-11-29,Belgium,17.927272727272726,29,11
2020-12-06,Belgium,12.259090909090908,6,12
2020-12-13,Belgium,12.704545454545455,13,12
2020-12-20,Belgium,10.918181818181818,20,12
2020-12-27,Belgium,8.559090909090909,27,12
2021-01-03,Belgium,7.295454545454546,3,1
2021-01-10,Belgium,1.8772727272727272,10,1
2021-01-17,Belgium,-0.5590909090909091,17,1
2021-01-24,Belgium,0.39090909090909065,24,1
2021-01-31,Belgium,0.513636363636364,31,1
2021-02-07,Belgium,-5.204545454545454,7,2
2021-02-14,Belgium,-5.918181818181819,14,2
2021-02-21,Belgium,-4.627272727272727,21,2
2021-02-28,Belgium,-7.745454545454544,28,2
2021-03-07,Belgium,-11.950000000000001,7,3
2021-03-14,Belgium,-6.5636363636363635,14,3
2021-03-21,Belgium,-5.3999999999999995,21,3
2021-03-28,Belgium,-4.70909090909091,28,3
2021-04-04,Belgium,0.004545454545453843,4,4
2021-04-11,Belgium,2.168181818181818,11,4
2021-04-18,Belgium,1.7227272727272724,18,4
2021-04-25,Belgium,3.8318181818181816,25,4
2021-05-02,Belgium,4.0181818181818185,2,5
2021-05-09,Belgium,5.7,9,5
2021-05-16,Belgium,1.0409090909090908,16,5
2021-05-23,Belgium,1.0181818181818187,23,5
2021-05-30,Belgium,0.4954545454545452,30,5
2021-06-06,Belgium,1.2636363636363634,6,6
2021-06-13,Belgium,0.04545454545454572,13,6
2021-06-20,Belgium,2.4181818181818184,20,6
2021-06-27,Belgium,-3.2409090909090916,27,6
2021-07-04,Belgium,0.681818181818182,4,7
2021-07-11,Belgium,-4.572727272727273,11,7
2021-07-18,Belgium,1.0727272727272732,18,7
2021-07-25,Belgium,2.186363636363637,25,7
2021-08-01,Belgium,-2.586363636363636,1,8
2021-08-08,Belgium,-0.2818181818181809,8,8
2021-08-15,Belgium,0.309090909090909,15,8
2021-08-22,Belgium,-0.41363636363636397,22,8
2021-08-29,Belgium,-0.9499999999999997,29,8
2021-09-05,Belgium,0.999999999999999,5,9
2021-09-12,Belgium,3.636363636363637,12,9
2021-09-19,Belgium,0.6727272727272733,19,9
