country_region_code,variable,value,wave
Luxembourg,Grocery and pharmacy,-27.305084745762713,First wave
Luxembourg,Parks,-21.491525423728813,First wave
Luxembourg,Residential,23.17543859649123,First wave
Luxembourg,Retail and recreation,-62.49152542372882,First wave
Luxembourg,Transit stations,-52.83050847457627,First wave
Luxembourg,Workplaces,-52.50847457627118,First wave
Latvia,Grocery and pharmacy,-11.581611240176334,First wave
Latvia,Parks,-13.901129943502823,First wave
Latvia,Residential,9.785310734463277,First wave
Latvia,Retail and recreation,-25.541027489163884,First wave
Latvia,Transit stations,-35.54237288135593,First wave
Latvia,Workplaces,-28.849964631026584,First wave
Malta,Grocery and pharmacy,-18.152542372881356,First wave
Malta,Parks,-28.779661016949152,First wave
Malta,Residential,19.389830508474578,First wave
Malta,Retail and recreation,-52.3728813559322,First wave
Malta,Transit stations,-40.76271186440678,First wave
Malta,Workplaces,-42.016949152542374,First wave
Netherlands,Grocery and pharmacy,-6.144081499673302,First wave
Netherlands,Parks,10.134870342411824,First wave
Netherlands,Residential,12.442400834881575,First wave
Netherlands,Retail and recreation,-31.206628036525156,First wave
Netherlands,Transit stations,-42.1169346151317,First wave
Netherlands,Workplaces,-32.71532314430604,First wave
Norway,Grocery and pharmacy,-7.922864784731985,First wave
Norway,Parks,20.478693849327144,First wave
Norway,Residential,13.062862173527622,First wave
Norway,Retail and recreation,-30.82577646348083,First wave
Norway,Transit stations,-35.8699046931322,First wave
Norway,Workplaces,-35.23344186754345,First wave
Poland,Grocery and pharmacy,-19.613103657930797,First wave
Poland,Parks,-21.920844698778716,First wave
Poland,Residential,13.048305065849538,First wave
Poland,Retail and recreation,-41.56120663738494,First wave
Poland,Transit stations,-42.76632399471002,First wave
Poland,Workplaces,-28.19842243592437,First wave
Portugal,Grocery and pharmacy,-30.566647671976124,First wave
Portugal,Parks,-42.85228541609107,First wave
Portugal,Residential,23.920726928939086,First wave
Portugal,Retail and recreation,-57.90620437110644,First wave
Portugal,Transit stations,-56.27729086774096,First wave
Portugal,Workplaces,-43.808440597164164,First wave
Romania,Grocery and pharmacy,-29.48264996762133,First wave
Romania,Parks,-31.5934911121648,First wave
Romania,Residential,13.783416507233078,First wave
Romania,Retail and recreation,-50.895027185605976,First wave
Romania,Transit stations,-44.41313420034562,First wave
Romania,Workplaces,-34.08691352246029,First wave
Sweden,Grocery and pharmacy,-3.3884595512768136,First wave
Sweden,Parks,24.88085970144934,First wave
Sweden,Residential,7.967800724689637,First wave
Sweden,Retail and recreation,-14.18982432057215,First wave
Sweden,Transit stations,-24.624908876041047,First wave
Sweden,Workplaces,-19.721566006596863,First wave
Slovenia,Grocery and pharmacy,-39.49543536805501,First wave
Slovenia,Parks,-29.145608017218187,First wave
Slovenia,Residential,17.061097659402744,First wave
Slovenia,Retail and recreation,-59.48591506146801,First wave
Slovenia,Transit stations,-45.742601337957176,First wave
Slovenia,Workplaces,-40.260886452039834,First wave
Slovakia,Grocery and pharmacy,-23.698053861458646,First wave
Slovakia,Parks,-14.825966219795259,First wave
Slovakia,Residential,14.167972328013715,First wave
Slovakia,Retail and recreation,-57.385941064008406,First wave
Slovakia,Transit stations,-47.51703012884898,First wave
Slovakia,Workplaces,-35.785518983448924,First wave
Austria,Grocery and pharmacy,-14.91185831755385,Second wave
Austria,Parks,-17.699998471446598,Second wave
Austria,Residential,8.467363898379476,Second wave
Austria,Retail and recreation,-39.593658113870305,Second wave
Austria,Transit stations,-29.30392062963699,Second wave
Austria,Workplaces,-27.753457442430374,Second wave
Belgium,Grocery and pharmacy,0.19193176579068702,Second wave
