2020-01-26,2020-02-02,2020-02-08,2020-02-16,2020-02-23,2020-03-05,2020-03-15,2020-03-22,2020-03-29,2020-04-10,2020-04-19,2020-04-26,2020-05-01,2020-05-04,2020-05-07,2020-05-17,2020-05-24,2020-05-31,2020-06-09,2020-06-12,2020-06-14,2020-06-21,2020-06-28,2020-07-06,2020-07-19,2020-07-26,2020-08-03,2020-08-11,2020-08-16,2020-08-23,2020-08-30,2020-09-02,2020-09-08,2020-09-13,2020-09-20,2020-09-27,2020-10-05,2020-10-18,2020-10-25,2020-11-10,2020-11-15,2020-11-22,2020-11-29,2020-12-01,2020-12-04,2020-12-07,2020-12-13,2020-12-20,2020-12-27,2021-01-08,2021-01-17,2021-01-24,2021-01-31,2021-02-05,2021-02-14,2021-02-21,2021-02-28,2021-03-01,2021-03-10,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-07,2021-04-18,2021-04-25,2021-05-09,2021-05-12,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-02,2021-07-03,2021-07-11,2021-07-18,2021-07-25,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-19,2021-09-26,2021-10-01,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-04,2021-11-07,2021-11-14,2021-11-21,2021-11-28,x,y
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,7,10,0,0,0,11,15,6,0,12,15,10,3,6,1,4,11,1,4,4,4,5,0,5,3,0,0,1,0,0,0,0,0,0,18,5,2,0,0,0,0,0,1,5,0,0,10,1,1,0,1,3,0,6,4,2,13.33991555,46.83634493
0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,38,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,24,28,0,2,0,19,24,12,0,16,2,5,1,0,0,0,8,1,3,2,3,2,0,2,1,2,0,1,0,0,1,0,0,0,2,0,3,0,0,0,0,0,1,2,0,1,6,0,4,1,0,4,0,4,9,6,14.57479162,46.7951349
0,0,0,0,0,5,0,1,7,0,17,11,0,15,0,0,0,0,0,45,1,1,0,0,0,1,0,18,0,1,0,0,0,0,2,6,2,4,7,4,38,22,44,0,13,0,43,33,32,0,13,12,11,13,7,5,9,17,3,0,7,8,6,0,9,7,3,0,6,2,3,1,1,2,1,11,6,6,0,2,1,0,0,3,7,2,1,10,2,4,3,3,4,0,9,10,5,15.38676077,47.12316894
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,8,13,0,0,0,9,7,3,0,5,3,3,0,2,0,1,7,0,1,2,3,1,0,3,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,4,1,0,0,4,5,0,6,4,0,14.21351753,47.51844885
0,0,0,0,0,0,0,0,1,1,2,1,0,2,0,0,0,0,0,33,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,6,6,1,15,31,33,0,2,0,28,33,14,0,10,5,10,1,8,10,7,17,0,5,5,8,5,0,6,3,0,0,0,0,2,0,0,0,0,3,5,1,0,0,0,1,1,0,2,0,0,14,1,4,1,1,6,0,7,5,3,15.22720106,47.52526587
0,0,0,0,0,4,0,5,9,0,6,2,0,10,1,1,4,1,0,35,0,0,1,1,0,0,0,16,0,0,0,0,0,0,1,1,1,3,3,0,26,32,39,0,12,0,45,38,30,0,14,8,11,5,13,11,10,13,1,10,8,5,5,1,5,8,1,0,4,1,0,1,0,1,0,10,8,9,0,0,0,2,1,0,0,2,3,9,1,7,4,5,3,0,8,9,6,15.82653241,47.16030913
0,0,0,0,0,0,0,0,3,3,1,0,0,6,0,0,1,0,0,26,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,2,2,14,20,23,0,0,0,25,21,19,0,11,13,7,12,11,7,1,14,1,0,7,1,5,0,8,9,0,0,3,1,1,1,1,0,0,6,4,2,0,0,0,0,0,0,11,2,1,11,3,0,0,3,10,0,0,5,4,15.26688041,46.87375751
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,14,22,0,0,0,25,15,15,0,9,3,8,3,3,1,1,7,2,2,4,2,2,0,4,3,0,0,0,1,2,3,1,0,0,3,3,2,0,0,0,0,0,0,2,0,0,6,0,5,2,3,5,0,6,5,5,14.42795295,47.18665219
0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,34,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,0,2,4,0,18,28,26,0,1,0,39,15,23,0,6,10,5,5,3,4,0,17,4,6,7,5,17,0,9,2,1,0,2,1,0,0,1,2,0,5,1,5,0,0,0,0,0,0,3,2,1,14,4,2,3,2,7,0,19,12,8,13.41053873,48.24484643
0,0,3,0,0,2,0,2,3,1,4,3,0,8,0,2,0,1,0,55,0,0,0,0,0,0,0,22,0,0,0,0,2,0,2,1,1,3,9,2,42,56,49,0,7,0,43,40,34,0,15,17,10,6,5,2,5,21,7,4,7,5,12,0,6,3,2,0,3,1,2,0,2,2,0,4,5,8,0,0,0,1,0,4,3,9,4,12,7,5,8,10,5,0,23,13,4,14.14665245,48.23941801
0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,1,0,1,0,0,33,38,22,0,1,1,16,12,13,0,10,4,2,1,4,6,0,12,2,2,3,4,3,0,5,3,1,0,0,2,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,7,2,2,1,2,1,0,10,8,5,14.41377789,48.45464364
0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,11,10,25,0,2,0,8,14,10,0,8,3,4,0,1,0,0,5,3,0,2,4,1,0,2,3,1,0,0,0,0,1,2,0,0,1,0,5,0,0,0,1,0,1,1,0,1,12,2,3,4,2,2,0,5,9,4,14.33053317,47.86247918
0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,1,18,16,20,0,0,0,21,24,21,0,10,3,8,2,3,1,2,27,1,3,5,2,6,0,6,3,1,0,2,2,1,0,0,0,0,3,5,1,0,0,1,0,0,2,4,0,0,13,0,1,2,1,3,0,20,10,8,13.66180605,47.8516408
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,0,5,0,0,0,7,2,2,0,1,1,2,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,13.66868083,47.14240541
0,0,0,0,0,2,0,0,5,0,3,3,0,7,0,0,1,0,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,13,25,16,0,4,0,21,7,4,0,7,2,4,3,6,3,3,10,0,5,1,4,4,0,3,1,0,0,0,1,0,0,1,0,0,4,5,0,0,0,0,0,0,0,1,0,4,9,1,0,1,0,1,0,4,2,2,12.90161168,47.30124549
0,0,0,0,0,1,0,0,2,1,2,1,0,2,0,0,0,0,0,29,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1,1,2,3,2,12,19,15,0,3,0,20,10,22,0,11,14,20,2,11,7,4,16,1,5,7,8,3,0,7,8,0,0,6,1,0,1,1,1,2,10,4,6,1,1,0,1,1,2,3,2,3,14,6,4,4,5,2,0,15,21,8,13.21576335,47.75303145
