NUTS_ID,2020_POP,2020_NEET,2020_EDU,2020_UNEM,2020_YOUTH,2020_EMP
UKI4,245.51989,10.075000000000001,168.66444444444446,62.715,26.29,127.8925
UKI5,196.00443800000002,13.1,121.86000000000001,49.173,16.830000000000002,92.52000000000001
UKI6,132.99397199999999,11.575,84.11333333333333,32.745000000000005,12.32,65.3925
UKI7,212.447743,12.55,135.49,61.16100000000001,17.27,99.10249999999999
UKJ1,244.160228,7.85,150.6611111111111,40.848,14.3,121.69000000000001
UKJ2,293.893638,9.274999999999999,173.69555555555553,42.846000000000004,17.05,136.1175
UKJ3,201.29805,9.55,121.11111111111113,36.297000000000004,9.13,94.175
UKJ4,187.326417,10.675,109.62111111111112,39.96,14.190000000000001,84.03
UKK1,254.173368,8.775,153.75,40.848,17.27,123.465
UKK2,134.936303,10.2,77.04333333333334,15.429000000000002,6.16,59.01500000000001
UKK3,57.429812,10.075000000000001,32.34555555555556,6.327000000000001,6.16,24.419999999999998
UKK4,120.714998,9.975,69.77222222222221,20.202,9.350000000000001,54.177499999999995
UKL1,198.80668300000002,13.799999999999999,120.46999999999998,41.958,13.530000000000001,86.0875
UKL2,117.968,10.55,72.53999999999999,21.645000000000003,7.920000000000001,54.2025
UKM5,50.031865,8.774999999999999,31.90333333333333,9.435,4.620000000000001,24.455000000000002
UKM7,201.868599,11.425,127.24285714285713,39.294000000000004,11.55,95.9675
UKM8,155.741798,12.149999999999999,100.61571428571429,38.961000000000006,8.690000000000001,72.3175
UKM9,95.665786,13.25,59.48857142857141,15.651000000000002,5.83,42.997499999999995
UKN0,188.5189,13.024999999999999,117.98444444444439,26.418000000000003,8.25,81.55
ME00,62.1873,26.6,42.410000000000004,47.8,9.5,21.330000000000002
MK00,207.6087,26.2,143.44,155.9,27.0,78.4
RS11,169.6192,15.1,110.1,59.7,10.7,71.58
RS12,184.7274,19.2,120.92,62.9,13.1,74.0
RS21,190.0429,21.6,121.72,89.6,15.6,74.31
RS22,148.281,24.2,91.7,74.4,13.7,52.52
