NUTS_ID,2019_POP,2019_NEET,2019_EDU,2019_UNEM,2019_YOUTH,2019_EMP
BE10,121.529,18.7,81.15,67.5,8.6,46.18
BE21,186.047,9.7,118.05,30.5,7.0,81.77000000000001
BE22,87.5842,8.8,55.95,14.5,5.0,38.089999999999996
BE23,151.6283,9.6,96.66,20.8,5.7,69.07000000000001
BE24,114.6643,7.3,72.94,19.3,5.0,51.15
BE25,119.6995,6.8,73.51,14.0,2.5,53.21
BE31,40.427,10.7,25.79,10.0,2.4,16.8
BE32,134.6082,17.3,85.78999999999999,45.3,8.5,47.739999999999995
BE33,111.0068,14.9,70.63,30.2,6.3,41.68
BE34,28.6685,9.6,18.490000000000002,7.0,2.1,12.07
BE35,49.6891,13.8,31.74,14.7,4.0,19.29
BG31,74.2304,29.9,44.230000000000004,33.3,3.1,26.4
BG32,78.4168,16.7,49.12,19.1,3.1,34.25
BG33,92.9035,19.8,60.15,26.3,3.2,40.54
BG34,103.2079,23.6,64.69,19.1,3.0,44.93
BG41,210.2205,7.0,138.85999999999999,24.8,2.9,105.03
BG42,141.0248,19.4,90.35,20.2,2.5,62.48
CZ01,130.8632,5.5,85.66,9.4,1.0,67.95
CZ02,136.9332,8.1,87.71000000000001,9.3,1.2,67.61
CZ03,122.6805,9.2,78.74,9.5,1.7,59.36
CZ04,111.5685,15.3,72.08,16.5,2.7,52.19
CZ05,151.3693,9.4,96.32000000000001,12.7,1.1,72.03
CZ06,169.6941,7.7,109.02000000000001,16.3,2.3,81.65
CZ07,121.5413,11.7,77.94,13.3,2.8,57.510000000000005
CZ08,120.3299,12.7,78.1,22.0,3.2,56.8
DE11,414.3418,7.0,275.31,54.8,12.1,218.91
DE12,280.5129,6.5,186.26,43.7,9.9,144.85
DE13,226.4469,6.4,146.1,26.7,5.5,116.17999999999999
DE14,185.6517,5.4,120.83,19.4,5.2,96.44
DE21,468.6163,4.8,308.66999999999996,51.0,8.3,250.59
DE22,123.8528,4.8,80.62,13.6,5.1,64.53999999999999
DE23,110.9269,5.8,72.52000000000001,13.6,29.5,57.470000000000006
DE24,106.7482,5.4,69.34,13.5,5.5,55.35
DE25,177.0401,5.4,115.13,19.3,5.1,89.4
DE26,131.7124,5.2,87.3,14.3,29.5,68.88
DE27,188.7754,5.2,124.12,23.3,5.3,99.22
DE30,364.4826,9.2,242.4,104.4,15.2,181.53
DE40,251.1917,8.0,155.45,43.8,6.3,121.34
DE50,68.2986,12.4,44.83,17.7,5.5,32.22
DE60,184.1179,8.9,123.92,36.7,7.4,95.3
DE71,399.8724,7.5,264.83000000000004,65.7,13.1,202.16
DE72,104.7262,7.1,68.11,17.6,5.4,50.21
DE73,121.9823,8.4,78.03,17.9,5.8,60.05
DE80,160.9675,8.5,98.97,31.3,5.6,74.17
DE91,159.6396,7.9,101.92,26.9,5.2,75.82000000000001
DE92,214.9805,10.2,138.47,39.3,8.7,104.22
DE93,171.0914,8.2,107.03,23.0,6.4,83.17999999999999
DE94,252.5333,8.4,164.16,39.3,8.4,125.52000000000001
DEA1,520.2321,10.5,334.94,99.6,16.8,242.70999999999998
DEA2,446.8904,7.7,293.68,78.1,12.4,216.08
DEA3,262.3619,8.1,172.76,46.2,7.4,129.14000000000001
DEA4,205.531,7.6,130.27,31.5,8.0,98.97999999999999
DEA5,358.2497,9.2,231.89000000000001,71.0,13.0,168.82999999999998
DEB1,149.5885,8.4,94.99,17.5,6.8,73.65
DEB2,53.1007,6.9,34.519999999999996,5.8,6.8,27.49
DEB3,205.7952,8.8,134.35,35.6,7.4,100.59
DEC0,99.0509,8.5,62.64,18.2,5.4,46.13
DED2,159.8199,5.9,96.17,28.1,5.4,76.41
DED4,143.6445,7.8,83.45,25.9,5.3,65.87
DED5,104.3293,7.0,65.31,25.7,5.9,50.510000000000005
DEE0,220.8321,9.1,132.66,49.4,5.4,100.49
DEF0,289.6712,7.8,182.35999999999999,43.0,9.4,141.07
DEG0,214.3145,6.8,130.20999999999998,40.3,6.4,100.99
EE00,132.482,9.8,84.22,31.3,6.1,63.410000000000004
IE04,86.7947,13.8,55.160000000000004,19.7,6.0,37.75
IE05,162.4381,12.4,104.63,42.7,12.9,70.56
