Sex, Macroregions  development regions and counties, Months, MU: Percentage, Valoare
Total, Vaslui, December 2020, Percentage, 7.4
Total, SOUTH - EAST, January 2019, Percentage, 4.6
Total, SOUTH - EAST, February 2019, Percentage, 4.7
Total, SOUTH - EAST, March 2019, Percentage, 4.5
Total, SOUTH - EAST, April 2019, Percentage, 4.1
Total, SOUTH - EAST, May 2019, Percentage, 4
Total, SOUTH - EAST, June 2019, Percentage, 4
Total, SOUTH - EAST, July 2019, Percentage, 4.1
Total, SOUTH - EAST, August 2019, Percentage, 4.1
Total, SOUTH - EAST, September 2019, Percentage, 4.1
Total, SOUTH - EAST, October 2019, Percentage, 4.1
Total, SOUTH - EAST, November 2019, Percentage, 4.2
Total, SOUTH - EAST, December 2019, Percentage, 4.2
Total, SOUTH - EAST, January 2020, Percentage, 4.1
Total, SOUTH - EAST, February 2020, Percentage, 4.1
Total, SOUTH - EAST, March 2020, Percentage, 4
Total, SOUTH - EAST, April 2020, Percentage, 4
Total, SOUTH - EAST, May 2020, Percentage, 4
Total, SOUTH - EAST, June 2020, Percentage, 4.1
Total, SOUTH - EAST, July 2020, Percentage, 4.4
Total, SOUTH - EAST, August 2020, Percentage, 4.4
Total, SOUTH - EAST, September 2020, Percentage, 4.4
Total, SOUTH - EAST, October 2020, Percentage, 4.5
Total, SOUTH - EAST, November 2020, Percentage, 4.7
Total, SOUTH - EAST, December 2020, Percentage, 4.8
Total, Braila, January 2019, Percentage, 4.2
Total, Braila, February 2019, Percentage, 4.4
Total, Braila, March 2019, Percentage, 4.2
Total, Braila, April 2019, Percentage, 3.9
Total, Braila, May 2019, Percentage, 3.7
Total, Braila, June 2019, Percentage, 3.7
Total, Braila, July 2019, Percentage, 3.7
Total, Braila, August 2019, Percentage, 3.6
Total, Braila, September 2019, Percentage, 3.6
Total, Braila, October 2019, Percentage, 3.5
Total, Braila, November 2019, Percentage, 3.5
Total, Braila, December 2019, Percentage, 3.5
Total, Braila, January 2020, Percentage, 3.6
Total, Braila, February 2020, Percentage, 3.6
Total, Braila, March 2020, Percentage, 3.5
Total, Braila, April 2020, Percentage, 3.7
Total, Braila, May 2020, Percentage, 3.8
Total, Braila, June 2020, Percentage, 3.7
Total, Braila, July 2020, Percentage, 3.8
Total, Braila, August 2020, Percentage, 4
Total, Braila, September 2020, Percentage, 4
Total, Braila, October 2020, Percentage, 4
Total, Braila, November 2020, Percentage, 4.1
Total, Braila, December 2020, Percentage, 4.3
Total, Buzau, January 2019, Percentage, 7.2
Total, Buzau, February 2019, Percentage, 7.2
Total, Buzau, March 2019, Percentage, 6.9
Total, Buzau, April 2019, Percentage, 6.8
Total, Buzau, May 2019, Percentage, 6.6
Total, Buzau, June 2019, Percentage, 6.7
Total, Buzau, July 2019, Percentage, 6.8
Total, Buzau, August 2019, Percentage, 6.8
Total, Buzau, September 2019, Percentage, 6.8
Total, Buzau, October 2019, Percentage, 6.7
Total, Buzau, November 2019, Percentage, 6.6
Total, Buzau, December 2019, Percentage, 6.6
Total, Buzau, January 2020, Percentage, 6.5
Total, Buzau, February 2020, Percentage, 6.5
Total, Buzau, March 2020, Percentage, 6.4
Total, Buzau, April 2020, Percentage, 6.5
Total, Buzau, May 2020, Percentage, 6.6
Total, Buzau, June 2020, Percentage, 6.7
Total, Buzau, July 2020, Percentage, 7.2
Total, Buzau, August 2020, Percentage, 7.2
Total, Buzau, September 2020, Percentage, 7
Total, Buzau, October 2020, Percentage, 6.9
Total, Buzau, November 2020, Percentage, 7.2
Total, Buzau, December 2020, Percentage, 7.9
Total, Constanta, January 2019, Percentage, 2.8
Total, Constanta, February 2019, Percentage, 2.8
Total, Constanta, March 2019, Percentage, 2.7
Total, Constanta, April 2019, Percentage, 2.1
Total, Constanta, May 2019, Percentage, 1.9
Total, Constanta, June 2019, Percentage, 1.9
Total, Constanta, July 2019, Percentage, 1.9
Total, Constanta, August 2019, Percentage, 2
Total, Constanta, September 2019, Percentage, 2
Total, Constanta, October 2019, Percentage, 2.3
Total, Constanta, November 2019, Percentage, 2.6
Total, Constanta, December 2019, Percentage, 2.5
Total, Constanta, January 2020, Percentage, 2.4
Total, Constanta, February 2020, Percentage, 2.4
Total, Constanta, March 2020, Percentage, 2.3
Total, Constanta, April 2020, Percentage, 2.2
Total, Constanta, May 2020, Percentage, 2
Total, Constanta, June 2020, Percentage, 2.2
Total, Constanta, July 2020, Percentage, 2.3
Total, Constanta, August 2020, Percentage, 2.4
Total, Constanta, September 2020, Percentage, 2.4
Total, Constanta, October 2020, Percentage, 2.7
Total, Constanta, November 2020, Percentage, 2.9
Total, Constanta, December 2020, Percentage, 3
Total, Galati, January 2019, Percentage, 6.2
Total, Galati, February 2019, Percentage, 6.2
Total, Galati, March 2019, Percentage, 6
Total, Galati, April 2019, Percentage, 5.6
Total, Galati, May 2019, Percentage, 5.5
Total, Galati, June 2019, Percentage, 5.7
Total, Galati, July 2019, Percentage, 5.9
Total, Galati, August 2019, Percentage, 5.9
Total, Galati, September 2019, Percentage, 5.8
Total, Galati, October 2019, Percentage, 5.6
Total, Galati, November 2019, Percentage, 5.7
Total, Galati, December 2019, Percentage, 5.6
Total, Galati, January 2020, Percentage, 5.5
Total, Galati, February 2020, Percentage, 5.4
Total, Galati, March 2020, Percentage, 5.4
Total, Galati, April 2020, Percentage, 5.4
Total, Galati, May 2020, Percentage, 5.6
Total, Galati, June 2020, Percentage, 5.7
Total, Galati, July 2020, Percentage, 6.2
Total, Galati, August 2020, Percentage, 6.3
Total, Galati, September 2020, Percentage, 6.3
Total, Galati, October 2020, Percentage, 6.1
Total, Galati, November 2020, Percentage, 6.4
Total, Galati, December 2020, Percentage, 6.5
Total, Tulcea, January 2019, Percentage, 3.9
Total, Tulcea, February 2019, Percentage, 4
Total, Tulcea, March 2019, Percentage, 3.6
Total, Tulcea, April 2019, Percentage, 3.2
Total, Tulcea, May 2019, Percentage, 3
Total, Tulcea, June 2019, Percentage, 3
Total, Tulcea, July 2019, Percentage, 3.1
Total, Tulcea, August 2019, Percentage, 3.3
Total, Tulcea, September 2019, Percentage, 3.2
Total, Tulcea, October 2019, Percentage, 3.2
Total, Tulcea, November 2019, Percentage, 3.4
Total, Tulcea, December 2019, Percentage, 3.5
Total, Tulcea, January 2020, Percentage, 3.4
Total, Tulcea, February 2020, Percentage, 3.4
Total, Tulcea, March 2020, Percentage, 3.4
Total, Tulcea, April 2020, Percentage, 3.3
Total, Tulcea, May 2020, Percentage, 3.1
Total, Tulcea, June 2020, Percentage, 3.3
Total, Tulcea, July 2020, Percentage, 3.4
Total, Tulcea, August 2020, Percentage, 3.1
Total, Tulcea, September 2020, Percentage, 3
Total, Tulcea, October 2020, Percentage, 3.1
Total, Tulcea, November 2020, Percentage, 3.2
Total, Tulcea, December 2020, Percentage, 3
Total, Vrancea, January 2019, Percentage, 4.1
Total, Vrancea, February 2019, Percentage, 4.1
Total, Vrancea, March 2019, Percentage, 4
Total, Vrancea, April 2019, Percentage, 3.7
Total, Vrancea, May 2019, Percentage, 3.7
Total, Vrancea, June 2019, Percentage, 3.9
Total, Vrancea, July 2019, Percentage, 3.9
Total, Vrancea, August 2019, Percentage, 4
Total, Vrancea, September 2019, Percentage, 3.8
Total, Vrancea, October 2019, Percentage, 3.9
Total, Vrancea, November 2019, Percentage, 3.7
Total, Vrancea, December 2019, Percentage, 3.6
Total, Vrancea, January 2020, Percentage, 3.7
Total, Vrancea, February 2020, Percentage, 3.6
Total, Vrancea, March 2020, Percentage, 3.6
Total, Vrancea, April 2020, Percentage, 3.5
Total, Vrancea, May 2020, Percentage, 3.4
Total, Vrancea, June 2020, Percentage, 3.7
Total, Vrancea, July 2020, Percentage, 4
Total, Vrancea, August 2020, Percentage, 4
Total, Vrancea, September 2020, Percentage, 4
Total, Vrancea, October 2020, Percentage, 4.1
Total, Vrancea, November 2020, Percentage, 4.1
Total, Vrancea, December 2020, Percentage, 4.2
Total, MACROREGION 3, January 2019, Percentage, 2.4
Total, MACROREGION 3, February 2019, Percentage, 2.4
Total, MACROREGION 3, March 2019, Percentage, 2.4
Total, MACROREGION 3, April 2019, Percentage, 2.3
Total, MACROREGION 3, May 2019, Percentage, 2.2
Total, MACROREGION 3, June 2019, Percentage, 2.2
Total, MACROREGION 3, July 2019, Percentage, 2.2
Total, MACROREGION 3, August 2019, Percentage, 2.2
Total, MACROREGION 3, September 2019, Percentage, 2.2
Total, MACROREGION 3, October 2019, Percentage, 2.2
Total, MACROREGION 3, November 2019, Percentage, 2.2
Total, MACROREGION 3, December 2019, Percentage, 2.1
Total, MACROREGION 3, January 2020, Percentage, 2.2
Total, MACROREGION 3, February 2020, Percentage, 2.2
Total, MACROREGION 3, March 2020, Percentage, 2.1
Total, MACROREGION 3, April 2020, Percentage, 2.1
Total, MACROREGION 3, May 2020, Percentage, 2.1
Total, MACROREGION 3, June 2020, Percentage, 2.2
Total, MACROREGION 3, July 2020, Percentage, 2.3
Total, MACROREGION 3, August 2020, Percentage, 2.3
Total, MACROREGION 3, September 2020, Percentage, 2.3
Total, MACROREGION 3, October 2020, Percentage, 2.3
Total, MACROREGION 3, November 2020, Percentage, 2.3
Total, MACROREGION 3, December 2020, Percentage, 2.4
Total, SOUTH - MUNTENIA, January 2019, Percentage, 3.9
Total, SOUTH - MUNTENIA, February 2019, Percentage, 3.9
Total, SOUTH - MUNTENIA, March 2019, Percentage, 3.8
Total, SOUTH - MUNTENIA, April 2019, Percentage, 3.5
Total, SOUTH - MUNTENIA, May 2019, Percentage, 3.4
Total, SOUTH - MUNTENIA, June 2019, Percentage, 3.4
Total, SOUTH - MUNTENIA, July 2019, Percentage, 3.5
Total, SOUTH - MUNTENIA, August 2019, Percentage, 3.5
Total, SOUTH - MUNTENIA, September 2019, Percentage, 3.4
Total, SOUTH - MUNTENIA, October 2019, Percentage, 3.4
Total, SOUTH - MUNTENIA, November 2019, Percentage, 3.4
Total, SOUTH - MUNTENIA, December 2019, Percentage, 3.4
Total, SOUTH - MUNTENIA, January 2020, Percentage, 3.5
Total, SOUTH - MUNTENIA, February 2020, Percentage, 3.5
Total, SOUTH - MUNTENIA, March 2020, Percentage, 3.4
Total, SOUTH - MUNTENIA, April 2020, Percentage, 3.4
Total, SOUTH - MUNTENIA, May 2020, Percentage, 3.4
Total, SOUTH - MUNTENIA, June 2020, Percentage, 3.6
Total, SOUTH - MUNTENIA, July 2020, Percentage, 3.9
Total, SOUTH - MUNTENIA, August 2020, Percentage, 3.9
Total, SOUTH - MUNTENIA, September 2020, Percentage, 3.8
Total, SOUTH - MUNTENIA, October 2020, Percentage, 3.7
Total, SOUTH - MUNTENIA, November 2020, Percentage, 3.8
Total, SOUTH - MUNTENIA, December 2020, Percentage, 3.9
Total, Arges, January 2019, Percentage, 3.3
Total, Arges, February 2019, Percentage, 3.2
Total, Arges, March 2019, Percentage, 3.1
Total, Arges, April 2019, Percentage, 2.8
Total, Arges, May 2019, Percentage, 2.8
Total, Arges, June 2019, Percentage, 2.9
Total, Arges, July 2019, Percentage, 2.9
Total, Arges, August 2019, Percentage, 3
Total, Arges, September 2019, Percentage, 3
Total, Arges, October 2019, Percentage, 2.9
Total, Arges, November 2019, Percentage, 3
Total, Arges, December 2019, Percentage, 3
Total, Arges, January 2020, Percentage, 3.1
Total, Arges, February 2020, Percentage, 3.1
Total, Arges, March 2020, Percentage, 3.1
Total, Arges, April 2020, Percentage, 3.1
Total, Arges, May 2020, Percentage, 3.2
Total, Arges, June 2020, Percentage, 3.6
Total, Arges, July 2020, Percentage, 4
Total, Arges, August 2020, Percentage, 4.1
Total, Arges, September 2020, Percentage, 3.9
Total, Arges, October 2020, Percentage, 3.6
Total, Arges, November 2020, Percentage, 3.8
Total, Arges, December 2020, Percentage, 3.8
Total, Calarasi, January 2019, Percentage, 4.3
Total, Calarasi, February 2019, Percentage, 4.3
Total, Calarasi, March 2019, Percentage, 4.1
Total, Calarasi, April 2019, Percentage, 3.8
Total, Calarasi, May 2019, Percentage, 3.6
Total, Calarasi, June 2019, Percentage, 3.6
Total, Calarasi, July 2019, Percentage, 3.7
Total, Calarasi, August 2019, Percentage, 3.7
Total, Calarasi, September 2019, Percentage, 3.6
Total, Calarasi, October 2019, Percentage, 3.6
Total, Calarasi, November 2019, Percentage, 3.6
Total, Calarasi, December 2019, Percentage, 3.6
Total, Calarasi, January 2020, Percentage, 3.5
Total, Calarasi, February 2020, Percentage, 3.4
Total, Calarasi, March 2020, Percentage, 3.3
Total, Calarasi, April 2020, Percentage, 3.1
Total, Calarasi, May 2020, Percentage, 3.2
Total, Calarasi, June 2020, Percentage, 3.5
Total, Calarasi, July 2020, Percentage, 4.1
Total, Calarasi, August 2020, Percentage, 4.1
Total, Calarasi, September 2020, Percentage, 4.1
Total, Calarasi, October 2020, Percentage, 4.1
Total, Calarasi, November 2020, Percentage, 4.2
Total, Calarasi, December 2020, Percentage, 4.3
Total, Dambovita, January 2019, Percentage, 3.8
Total, Dambovita, February 2019, Percentage, 3.7
Total, Dambovita, March 2019, Percentage, 3.7
Total, Dambovita, April 2019, Percentage, 3.5
Total, Dambovita, May 2019, Percentage, 3.4
Total, Dambovita, June 2019, Percentage, 3.4
Total, Dambovita, July 2019, Percentage, 3.5
Total, Dambovita, August 2019, Percentage, 3.4
Total, Dambovita, September 2019, Percentage, 3.3
Total, Dambovita, October 2019, Percentage, 3.5
Total, Dambovita, November 2019, Percentage, 3.5
Total, Dambovita, December 2019, Percentage, 3.4
Total, Dambovita, January 2020, Percentage, 3.3
Total, Dambovita, February 2020, Percentage, 3.3
Total, Dambovita, March 2020, Percentage, 3.2
Total, Dambovita, April 2020, Percentage, 3.1
Total, Dambovita, May 2020, Percentage, 3.2
Total, Dambovita, June 2020, Percentage, 3.2
Total, Dambovita, July 2020, Percentage, 3.2
Total, Dambovita, August 2020, Percentage, 3.1
Total, Dambovita, September 2020, Percentage, 3.2
Total, Dambovita, October 2020, Percentage, 3.3
Total, Dambovita, November 2020, Percentage, 3.2
Total, Dambovita, December 2020, Percentage, 3.2
Total, Giurgiu, January 2019, Percentage, 2.4
Total, Giurgiu, February 2019, Percentage, 2.4
Total, Giurgiu, March 2019, Percentage, 2.3
Total, Giurgiu, April 2019, Percentage, 2.2
Total, Giurgiu, May 2019, Percentage, 2.1
Total, Giurgiu, June 2019, Percentage, 2.2
Total, Giurgiu, July 2019, Percentage, 2.3
Total, Giurgiu, August 2019, Percentage, 2.4
Total, Giurgiu, September 2019, Percentage, 2.1
Total, Giurgiu, October 2019, Percentage, 2.1
Total, Giurgiu, November 2019, Percentage, 2.1
Total, Giurgiu, December 2019, Percentage, 2
Total, Giurgiu, January 2020, Percentage, 2
Total, Giurgiu, February 2020, Percentage, 2
Total, Giurgiu, March 2020, Percentage, 2
Total, Giurgiu, April 2020, Percentage, 2.2
Total, Giurgiu, May 2020, Percentage, 2.2
Total, Giurgiu, June 2020, Percentage, 2.4
Total, Giurgiu, July 2020, Percentage, 2.8
Total, Giurgiu, August 2020, Percentage, 2.7
Total, Giurgiu, September 2020, Percentage, 2.7
Total, Giurgiu, October 2020, Percentage, 2.6
Total, Giurgiu, November 2020, Percentage, 2.7
Total, Giurgiu, December 2020, Percentage, 2.6
Total, Ialomita, January 2019, Percentage, 5.6
Total, Ialomita, February 2019, Percentage, 5.6
Total, Ialomita, March 2019, Percentage, 5.4
Total, Ialomita, April 2019, Percentage, 5.1
Total, Ialomita, May 2019, Percentage, 4.9
Total, Ialomita, June 2019, Percentage, 4.9
Total, Ialomita, July 2019, Percentage, 4.8
Total, Ialomita, August 2019, Percentage, 4.7
Total, Ialomita, September 2019, Percentage, 4.5
Total, Ialomita, October 2019, Percentage, 4.3
Total, Ialomita, November 2019, Percentage, 4.4
Total, Ialomita, December 2019, Percentage, 4.5
Total, Ialomita, January 2020, Percentage, 4.5
Total, Ialomita, February 2020, Percentage, 4.5
Total, Ialomita, March 2020, Percentage, 4.3
Total, Ialomita, April 2020, Percentage, 4
Total, Ialomita, May 2020, Percentage, 4.1
Total, Ialomita, June 2020, Percentage, 4.3
Total, Ialomita, July 2020, Percentage, 4.6
Total, Ialomita, August 2020, Percentage, 4.6
Total, Ialomita, September 2020, Percentage, 4.6
Total, Ialomita, October 2020, Percentage, 4.3
Total, Ialomita, November 2020, Percentage, 4.5
Total, Ialomita, December 2020, Percentage, 4.9
Total, Prahova, January 2019, Percentage, 2.5
Total, Prahova, February 2019, Percentage, 2.5
Total, Prahova, March 2019, Percentage, 2.4
Total, Prahova, April 2019, Percentage, 2.3
Total, Prahova, May 2019, Percentage, 2.2
Total, Prahova, June 2019, Percentage, 2.2
Total, Prahova, July 2019, Percentage, 2.2
Total, Prahova, August 2019, Percentage, 2.4
Total, Prahova, September 2019, Percentage, 2.4
Total, Prahova, October 2019, Percentage, 2.4
Total, Prahova, November 2019, Percentage, 2.5
Total, Prahova, December 2019, Percentage, 2.4
Total, Prahova, January 2020, Percentage, 2.4
Total, Prahova, February 2020, Percentage, 2.4
Total, Prahova, March 2020, Percentage, 2.3
Total, Prahova, April 2020, Percentage, 2.5
Total, Prahova, May 2020, Percentage, 2.5
Total, Prahova, June 2020, Percentage, 2.7
Total, Prahova, July 2020, Percentage, 3.1
Total, Prahova, August 2020, Percentage, 3.1
Total, Prahova, September 2020, Percentage, 3.1
Total, Prahova, October 2020, Percentage, 3.1
Total, Prahova, November 2020, Percentage, 3
Total, Prahova, December 2020, Percentage, 2.9
Total, Teleorman, January 2019, Percentage, 7.6
Total, Teleorman, February 2019, Percentage, 7.9
Total, Teleorman, March 2019, Percentage, 7.6
Total, Teleorman, April 2019, Percentage, 7.1
Total, Teleorman, May 2019, Percentage, 6.7
Total, Teleorman, June 2019, Percentage, 6.7
Total, Teleorman, July 2019, Percentage, 6.8
Total, Teleorman, August 2019, Percentage, 6.7
Total, Teleorman, September 2019, Percentage, 6.5
Total, Teleorman, October 2019, Percentage, 6.3
Total, Teleorman, November 2019, Percentage, 6.3
Total, Teleorman, December 2019, Percentage, 6.3
Total, Teleorman, January 2020, Percentage, 6.6
Total, Teleorman, February 2020, Percentage, 6.9
Total, Teleorman, March 2020, Percentage, 6.6
Total, Teleorman, April 2020, Percentage, 6.3
Total, Teleorman, May 2020, Percentage, 5.9
Total, Teleorman, June 2020, Percentage, 6.1
Total, Teleorman, July 2020, Percentage, 6.3
Total, Teleorman, August 2020, Percentage, 6.2
Total, Teleorman, September 2020, Percentage, 5.7
Total, Teleorman, October 2020, Percentage, 6
Total, Teleorman, November 2020, Percentage, 6.4
Total, Teleorman, December 2020, Percentage, 6.6
Total, BUCHAREST - ILFOV, January 2019, Percentage, 1.2
Total, BUCHAREST - ILFOV, February 2019, Percentage, 1.2
Total, BUCHAREST - ILFOV, March 2019, Percentage, 1.2
Total, BUCHAREST - ILFOV, April 2019, Percentage, 1.2
Total, BUCHAREST - ILFOV, May 2019, Percentage, 1.2
Total, BUCHAREST - ILFOV, June 2019, Percentage, 1.2
Total, BUCHAREST - ILFOV, July 2019, Percentage, 1.2
Total, BUCHAREST - ILFOV, August 2019, Percentage, 1.2
Total, BUCHAREST - ILFOV, September 2019, Percentage, 1.2
Total, BUCHAREST - ILFOV, October 2019, Percentage, 1.2
Total, BUCHAREST - ILFOV, November 2019, Percentage, 1.2
Total, BUCHAREST - ILFOV, December 2019, Percentage, 1.1
Total, BUCHAREST - ILFOV, January 2020, Percentage, 1.1
Total, BUCHAREST - ILFOV, February 2020, Percentage, 1.1
Total, BUCHAREST - ILFOV, March 2020, Percentage, 1.1
Total, BUCHAREST - ILFOV, April 2020, Percentage, 1.1
Total, BUCHAREST - ILFOV, May 2020, Percentage, 1.1
Total, BUCHAREST - ILFOV, June 2020, Percentage, 1.1
Total, BUCHAREST - ILFOV, July 2020, Percentage, 1.1
Total, BUCHAREST - ILFOV, August 2020, Percentage, 1.1
Total, BUCHAREST - ILFOV, September 2020, Percentage, 1.1
Total, BUCHAREST - ILFOV, October 2020, Percentage, 1.2
Total, BUCHAREST - ILFOV, November 2020, Percentage, 1.2
Total, BUCHAREST - ILFOV, December 2020, Percentage, 1.2
Total, Ilfov, January 2019, Percentage, .6
Total, Ilfov, February 2019, Percentage, .5
Total, Ilfov, March 2019, Percentage, .5
Total, Ilfov, April 2019, Percentage, .4
Total, Ilfov, May 2019, Percentage, .4
Total, Ilfov, June 2019, Percentage, .5
Total, Ilfov, July 2019, Percentage, .4
Total, Ilfov, August 2019, Percentage, .4
Total, Ilfov, September 2019, Percentage, .4
Total, Ilfov, October 2019, Percentage, .4
Total, Ilfov, November 2019, Percentage, .4
Total, Ilfov, December 2019, Percentage, .4
Total, Ilfov, January 2020, Percentage, .4
Total, Ilfov, February 2020, Percentage, .4
Total, Ilfov, March 2020, Percentage, .4
Total, Ilfov, April 2020, Percentage, .3
Total, Ilfov, May 2020, Percentage, .3
Total, Ilfov, June 2020, Percentage, .3
Total, Ilfov, July 2020, Percentage, .4
Total, Ilfov, August 2020, Percentage, .4
Total, Ilfov, September 2020, Percentage, .4
Total, Ilfov, October 2020, Percentage, .7
Total, Ilfov, November 2020, Percentage, .7
Total, Ilfov, December 2020, Percentage, .7
Total, Bucharest Municipality, January 2019, Percentage, 1.3
Total, Bucharest Municipality, February 2019, Percentage, 1.3
Total, Bucharest Municipality, March 2019, Percentage, 1.3
Total, Bucharest Municipality, April 2019, Percentage, 1.3
Total, Bucharest Municipality, May 2019, Percentage, 1.3
Total, Bucharest Municipality, June 2019, Percentage, 1.3
Total, Bucharest Municipality, July 2019, Percentage, 1.3
Total, Bucharest Municipality, August 2019, Percentage, 1.3
Total, Bucharest Municipality, September 2019, Percentage, 1.3
Total, Bucharest Municipality, October 2019, Percentage, 1.3
Total, Bucharest Municipality, November 2019, Percentage, 1.3
Total, Bucharest Municipality, December 2019, Percentage, 1.2
Total, Bucharest Municipality, January 2020, Percentage, 1.2
Total, Bucharest Municipality, February 2020, Percentage, 1.2
Total, Bucharest Municipality, March 2020, Percentage, 1.2
Total, Bucharest Municipality, April 2020, Percentage, 1.2
Total, Bucharest Municipality, May 2020, Percentage, 1.2
Total, Bucharest Municipality, June 2020, Percentage, 1.2
Total, Bucharest Municipality, July 2020, Percentage, 1.2
Total, Bucharest Municipality, August 2020, Percentage, 1.2
Total, Bucharest Municipality, September 2020, Percentage, 1.2
Total, Bucharest Municipality, October 2020, Percentage, 1.2
Total, Bucharest Municipality, November 2020, Percentage, 1.2
Total, Bucharest Municipality, December 2020, Percentage, 1.2
Total, MACROREGION 4, January 2019, Percentage, 3.9
Total, MACROREGION 4, February 2019, Percentage, 3.9
Total, MACROREGION 4, March 2019, Percentage, 3.7
Total, MACROREGION 4, April 2019, Percentage, 3.5
Total, MACROREGION 4, May 2019, Percentage, 3.4
Total, MACROREGION 4, June 2019, Percentage, 3.5
Total, MACROREGION 4, July 2019, Percentage, 3.5
Total, MACROREGION 4, August 2019, Percentage, 3.6
Total, MACROREGION 4, September 2019, Percentage, 3.5
Total, MACROREGION 4, October 2019, Percentage, 3.5
Total, MACROREGION 4, November 2019, Percentage, 3.4
Total, MACROREGION 4, December 2019, Percentage, 3.4
Total, MACROREGION 4, January 2020, Percentage, 3.4
Total, MACROREGION 4, February 2020, Percentage, 3.4
Total, MACROREGION 4, March 2020, Percentage, 3.3
Total, MACROREGION 4, April 2020, Percentage, 3.4
Total, MACROREGION 4, May 2020, Percentage, 3.4
Total, MACROREGION 4, June 2020, Percentage, 3.6
Total, MACROREGION 4, July 2020, Percentage, 3.9
Total, MACROREGION 4, August 2020, Percentage, 3.8
Total, MACROREGION 4, September 2020, Percentage, 3.8
Total, MACROREGION 4, October 2020, Percentage, 3.7
Total, MACROREGION 4, November 2020, Percentage, 3.8
Total, MACROREGION 4, December 2020, Percentage, 3.9
Total, SOUTH - WEST OLTENIA, January 2019, Percentage, 5.9
Total, SOUTH - WEST OLTENIA, February 2019, Percentage, 5.9
Total, SOUTH - WEST OLTENIA, March 2019, Percentage, 5.7
Total, SOUTH - WEST OLTENIA, April 2019, Percentage, 5.4
Total, SOUTH - WEST OLTENIA, May 2019, Percentage, 5.3
Total, SOUTH - WEST OLTENIA, June 2019, Percentage, 5.3
Total, SOUTH - WEST OLTENIA, July 2019, Percentage, 5.3
Total, SOUTH - WEST OLTENIA, August 2019, Percentage, 5.3
Total, SOUTH - WEST OLTENIA, September 2019, Percentage, 5.3
Total, SOUTH - WEST OLTENIA, October 2019, Percentage, 5.2
Total, SOUTH - WEST OLTENIA, November 2019, Percentage, 5.2
Total, SOUTH - WEST OLTENIA, December 2019, Percentage, 5.2
Total, SOUTH - WEST OLTENIA, January 2020, Percentage, 5.2
Total, SOUTH - WEST OLTENIA, February 2020, Percentage, 5.1
Total, SOUTH - WEST OLTENIA, March 2020, Percentage, 5
Total, SOUTH - WEST OLTENIA, April 2020, Percentage, 5.1
Total, SOUTH - WEST OLTENIA, May 2020, Percentage, 5
Total, SOUTH - WEST OLTENIA, June 2020, Percentage, 5.3
Total, SOUTH - WEST OLTENIA, July 2020, Percentage, 5.6
Total, SOUTH - WEST OLTENIA, August 2020, Percentage, 5.4
Total, SOUTH - WEST OLTENIA, September 2020, Percentage, 5.4
Total, SOUTH - WEST OLTENIA, October 2020, Percentage, 5.3
Total, SOUTH - WEST OLTENIA, November 2020, Percentage, 5.5
Total, SOUTH - WEST OLTENIA, December 2020, Percentage, 5.5
Total, Dolj, January 2019, Percentage, 7.6
Total, Dolj, February 2019, Percentage, 7.6
Total, Dolj, March 2019, Percentage, 7.4
Total, Dolj, April 2019, Percentage, 7.1
Total, Dolj, May 2019, Percentage, 7
Total, Dolj, June 2019, Percentage, 6.9
Total, Dolj, July 2019, Percentage, 6.9
Total, Dolj, August 2019, Percentage, 6.9
Total, Dolj, September 2019, Percentage, 6.8
Total, Dolj, October 2019, Percentage, 6.7
Total, Dolj, November 2019, Percentage, 6.7
Total, Dolj, December 2019, Percentage, 6.7
Total, Dolj, January 2020, Percentage, 6.8
Total, Dolj, February 2020, Percentage, 6.8
Total, Dolj, March 2020, Percentage, 6.4
Total, Dolj, April 2020, Percentage, 6.8
Total, Dolj, May 2020, Percentage, 7
Total, Dolj, June 2020, Percentage, 7.1
Total, Dolj, July 2020, Percentage, 7.2
Total, Dolj, August 2020, Percentage, 6.6
Total, Dolj, September 2020, Percentage, 6.7
Total, Dolj, October 2020, Percentage, 6.6
Total, Dolj, November 2020, Percentage, 6.9
Total, Dolj, December 2020, Percentage, 7.1
Total, Gorj, January 2019, Percentage, 4.3
Total, Gorj, February 2019, Percentage, 4.3
Total, Gorj, March 2019, Percentage, 4
Total, Gorj, April 2019, Percentage, 3.8
Total, Gorj, May 2019, Percentage, 3.6
Total, Gorj, June 2019, Percentage, 3.5
Total, Gorj, July 2019, Percentage, 3.5
Total, Gorj, August 2019, Percentage, 3.5
Total, Gorj, September 2019, Percentage, 3.5
Total, Gorj, October 2019, Percentage, 3.5
Total, Gorj, November 2019, Percentage, 3.5
Total, Gorj, December 2019, Percentage, 3.5
Total, Gorj, January 2020, Percentage, 3.4
Total, Gorj, February 2020, Percentage, 3.2
Total, Gorj, March 2020, Percentage, 3.2
Total, Gorj, April 2020, Percentage, 3
Total, Gorj, May 2020, Percentage, 2.7
Total, Gorj, June 2020, Percentage, 3.2
Total, Gorj, July 2020, Percentage, 3.8
Total, Gorj, August 2020, Percentage, 3.9
Total, Gorj, September 2020, Percentage, 3.7
Total, Gorj, October 2020, Percentage, 3.8
Total, Gorj, November 2020, Percentage, 3.9
Total, Gorj, December 2020, Percentage, 3.8
Total, Mehedinti, January 2019, Percentage, 7.5
Total, Mehedinti, February 2019, Percentage, 7.5
Total, Mehedinti, March 2019, Percentage, 7.2
Total, Mehedinti, April 2019, Percentage, 6.9
