,05/01/2020,12/01/2020,19/01/2020,26/01/2020,02/02/2020,09/02/2020,16/02/2020,23/02/2020,01/03/2020,08/03/2020,15/03/2020,22/03/2020,29/03/2020,05/04/2020,12/04/2020,19/04/2020,26/04/2020,03/05/2020,10/05/2020,17/05/2020,24/05/2020,31/05/2020,07/06/2020,14/06/2020,21/06/2020,28/06/2020,05/07/2020,12/07/2020,19/07/2020,26/07/2020,02/08/2020,09/08/2020,16/08/2020,23/08/2020,30/08/2020,06/09/2020,13/09/2020,20/09/2020,27/09/2020,04/10/2020,11/10/2020,18/10/2020,25/10/2020,01/11/2020,08/11/2020,15/11/2020,22/11/2020,29/11/2020,06/12/2020,13/12/2020,20/12/2020,27/12/2020,03/01/2021,10/01/2021,17/01/2021,24/01/2021,31/01/2021,07/02/2021,14/02/2021,21/02/2021,28/02/2021,07/03/2021,14/03/2021,21/03/2021,28/03/2021,04/04/2021,11/04/2021,18/04/2021,25/04/2021,02/05/2021,09/05/2021,16/05/2021,23/05/2021,30/05/2021,06/06/2021,13/06/2021,20/06/2021,27/06/2021,04/07/2021,11/07/2021,18/07/2021,25/07/2021,01/08/2021,08/08/2021,15/08/2021,22/08/2021,29/08/2021,05/09/2021,12/09/2021,19/09/2021,26/09/2021,03/10/2021,10/10/2021,17/10/2021,24/10/2021,31/10/2021,07/11/2021,14/11/2021,21/11/2021,28/11/2021,05/12/2021,12/12/2021,19/12/2021,26/12/2021,02/01/2022,09/01/2022,16/01/2022,23/01/2022,30/01/2022
RO113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,23,16,15,29,20,12,2,5,2,4,5,10,11,12,12,20,31,50,37,33,56,25,28,18,11,12,11,7,15,3,3,11,15,14,14,20,20,28,43,34,16,18,16,4,12,77,88.5,66.5,0,1,15,0,0,0,2,2,3,3,8,10,9,20,43,48,97,67,111,82,48,36,18,13,9,,,,,,
RO114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,8,14,12,23,8,5,8,19,14,17,36,37,16,33,21,26,6,44,35,11,49,20,20,12,12,6,12,13,7,35,17,22,18,24,23,34,37,35,35,35,17,10,12,42,19,2,1,1,0,0,1,0,1,1,1,1,8,6,5,13,33,61,50,69,72,76,119,51,65,50,43,15,14,,,,,,
RO115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,7,6,18,15,14,19,19,8,16,16,6,17,43,29,44,25,54,94,63,41,57,81,64,27,27,24,28,15,17,14,20,29,24,36,37,56,49,53,66,52,36,35,12,10,19,84,9,0,0,1,5,0,0,3,0,5,2,3,10,20,24,46,66,110,96,161,138,80,80,47,44,20,,,,,,
RO116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,6,2,1,8,2,4,8,5,3,4,5,5,18,29,24,22,35,24,22,15,25,15,7,16,6,6,7,0,4,12,7,2,14,16,31,32,30,26,20,11,10,5,5,1,1,4,3,0,0,0,0,0,1,1,0,7,8,9,33,35,38,47,41,49,22,35,28,15,15,4,5,8,,,,,,
RO121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,2,1,4,1,2,2,3,5,4,4,7,7,13,17,15,29,16,23,12,9,10,6,66,6,10,502.5,5,8,7,6,5,3,28,15,25,28,24,19,14,14,14,6,2,5,77,0.5,3.5,0,0,0,1,0,0,1,2,2,2,7,19,26,24,57,58,67,64,65,36,27,23,9,5,4,,,,,,
RO122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,13,7,4,14,13,11,9,13,8,5,31,17,20,30,25,33,68,12,58,36,10,52,28,6,3,12,15,12,16,11,3,29,18,23,62,44,45,34,55,31,14,20,7,4,4,28.75,25.75,32,0,0,1,2,0,2,0,1,2,2,3,7,8,21,35,54,58,70,124,61,55,111,27,23,21,,,,,,
RO123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,15,12,13,4,14,18,10,5,6,11,11,14,7,18,16,13,36,43,28,26,20,21,29,18,13,15,8,8,6,15,12,17,12,22,19,20,24,33,18,17,8,13,5,4,2,0.5,2.5,0,0,0,0,0,1,0,1,2,2,7,6,9,4,22,39,145,29,298,32,70,25,7,53,2,,,,,,
RO124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,23,6,4,7,44,5,36,16,19,24,23,29,7,7,7,100,119,7,159,7,8,8,222,93,47,37,41,15,37,23,18,29,2313,60,56,44,58,88,113,84,109,90,47,15,18,346,86,309,0,0,3,2,3,0,4,3,11,17,45,28,126,77,123,255,238,179,338,229,136,106,67,40,33,,,,,,
RO125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,2,8,19,9,11,3,4,6,1,5,4,2,4,9,14,6,19,16,10,13,13,9,7,4,4,11,6,5,1,3,4,4,6,10,23,23,11,20,15,10,5,7,4,5,20,6,0,0,0,0,0,0,0,0,0,0,4,2,9,7,19,16,35,61,45,79,49,27,22,14,5,6,,,,,,
RO126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,11,6,11,11,6,2,7,7,8,16,18,12,18,20,23,17,36,30,12,22,24,7,5,31,19,11,18,12,5,8,11,8,16,29,15,20,20,24,16,21,17,11,18,2,2,1,4,0,0,1,0,0,0,4.5,3.5,4,21,7,17,17,10,59,47,42,46,92,47,31,17,12,13,3,,,,,,
